rank,song,artist,url
1,"""Heat Waves""",Glass Animals,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2,"""As It Was""",Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
3,"""Stay""",The Kid Laroi and Justin Bieber,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20?si=c5e70207616e4df8
4,"""Easy on Me""",Adele,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX
5,"""Shivers""",Ed Sheeran,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
6,"""First Class""",Jack Harlow,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
7,"""Big Energy""",Latto,https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq
8,"""Ghost""",Justin Bieber,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
9,"""Super Gremlin""",Kodak Black,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
10,"""Cold Heart (Pnau remix)""",Elton John and Dua Lipa,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
11,"""Wait for U""",Future featuring Drake and Tems,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK?si=5be5a4d1d41f4de1
12,"""About Damn Time""",Lizzo,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
13,"""Bad Habits""",Ed Sheeran,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
14,"""Thats What I Want""",Lil Nas X,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
15,"""Enemy""",Imagine Dragons and JID,https://open.spotify.com/track/3CIyK1V4JEJkg02E4EJnDl
16,"""Industry Baby""",Lil Nas X and Jack Harlow,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK?si=b5f7cc10f5ed44b2
17,"""ABCDEFU""",Gayle,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
18,"""Need to Know""",Doja Cat,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
19,"""Wasted on You""",Morgan Wallen,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
20,"""Me Porto Bonito""",Bad Bunny and Chencho Corleone,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx?si=ab6781fa95324069
21,"""Woman""",Doja Cat,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
22,"""Tití Me Preguntó""",Bad Bunny,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
23,"""Running Up That Hill (A Deal with God)""",Kate Bush,https://open.spotify.com/track/29d0nY7TzCoi22XBqDQkiP
24,"""We Don't Talk About Bruno""","Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz and the Encanto cast",https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz?si=6b34710215074d96
25,"""Late Night Talking""",Harry Styles,https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK?si=a0960edee37147fd
26,"""I Like You (A Happier Song)""",Post Malone featuring Doja Cat,https://open.spotify.com/track/0O6u0VJ46W86TxN9wgyqDj?si=2b81f153d8674168
27,"""You Proof""",Morgan Wallen,https://open.spotify.com/track/5uU1uuyaUIBOiiUSQG7Wl3
28,"""Bad Habit""",Steve Lacy,https://open.spotify.com/track/5CM4UuQ9Gnd6K2YyKGPMoK
29,"""Sunroof""",Nicky Youre and Dazy,https://open.spotify.com/track/4h4QlmocP3IuwYEj2j14p8?si=43e31eeb37324acb
30,"""One Right Now""",Post Malone and the Weeknd,https://open.spotify.com/track/3Z9iVaKGEDZtd6jvzuoF0e
31,"""Good 4 U""",Olivia Rodrigo,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
32,"""Numb Little Bug""",Em Beihold,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2
33,"""Jimmy Cooks""",Drake featuring 21 Savage,https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe?si=39f1ba8cd92d4b0e
34,"""'Til You Can't""",Cody Johnson,https://open.spotify.com/track/7aONQhPBAugKunRUV1liCV
35,"""Fancy Like""",Walker Hayes,https://open.spotify.com/track/58UKC45GPNTflCN6nwCUeF
36,"""The Kind of Love We Make""",Luke Combs,https://open.spotify.com/track/48UKTR66uUOT9LaUvooTNx
37,"""I Ain't Worried""",OneRepublic,https://open.spotify.com/track/29kUiQdEvB9q7joHiYZNJ3
38,"""Break My Soul""",Beyoncé,https://open.spotify.com/track/5pyoxDZ1PX0KxBxiRVxA4U
39,"""Something in the Orange""",Zach Bryan,https://open.spotify.com/track/3WMj8moIAXJhHsyLaqIIHI
40,"""Save Your Tears""",The Weeknd and Ariana Grande,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g?si=21373135fb9b4ae3
41,"""Smokin out the Window""",Silk Sonic (Bruno Mars and Anderson .Paak),https://open.spotify.com/track/1oERlssLrpssCAY6Yqqs6c?si=451034735a9e4c5d
42,"""Levitating""",Dua Lipa,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
43,"""In a Minute""",Lil Baby,https://open.spotify.com/track/31lopd32BkJBTSgYE16c5e
44,"""Moscow Mule""",Bad Bunny,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO
45,"""You Right""",Doja Cat and the Weeknd,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez?si=a2eb6e70e9de47bd
