track_uri,artist_uri,genres
02MWAaffLxlfxAUY7c5dvx,4yvcSjfu4PC0CYQyLy4wSq,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
4LRPiXqCikLlN15c3yImP7,6KImCVD70vtIoJWnq6nGn3,['pop']
5HCyWlXZPP0y6Gqq8TgA20,2tIP7SsRs7vjIcLrU85W8J,['australian hip hop']
0gplL1WMoJ6iYaPgMCL0gX,4dpARuHxo51G3z768sgnrY,"['british soul', 'pop', 'pop soul', 'uk pop']"
50nfwKoDiSYg8zOCREWAm5,6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'singer-songwriter pop', 'uk pop']"
0wHFktze2PHC5jDt3B17DC,2LIk90788K0zvyj2JJVwkJ,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']"
6Zu3aw7FfjAF9WA0fA81Oq,3MdXrJWsbVzdn6fe5JYkSQ,['trap queen']
6I3mqTwhRpn34SLVafSH7G,1uNFoZAHBGtllmzznpCI3s,"['canadian pop', 'pop']"
4A8cWXxKfIL3lAyUDzXbCF,46SHBwWsqBkxI7EeeBEQG7,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']"
6zSpb8dQRaw0M1dK8PBwQz,3PhoLpVuITZKcymswpck5b,"['glam rock', 'mellow gold', 'piano rock', 'rock']"
59nOXPmaKlBfGMDeOVGrIK,1RyvyyTE3xzB2ZywiAwp0i,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
1PckUlxKqWQs3RlWXVBLw3,56oDRnqbIiwx4mymNEv7dS,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']"
3rmo8F54jFF8OgYsqTxm5d,6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'singer-songwriter pop', 'uk pop']"
0e8nrvls4Qqv5Rfa2UhqmO,7jVv8c5Fj3E9VhNjxT4snq,['lgbtq+ hip hop']
3CIyK1V4JEJkg02E4EJnDl,53XhwfbYqKCa1cC15pYq2q,"['modern rock', 'pop', 'rock']"
27NovPIUIRrOZoCHxABJwK,7jVv8c5Fj3E9VhNjxT4snq,['lgbtq+ hip hop']
4fouWK6XVHhzl78KzQ1UjL,2VSHKHBTiXWplO8lxcnUC9,['modern alternative pop']
3Vi5XqYrmQgOYBajMWSvCi,5cj0lLjcoR7YOSnhnX0Po5,"['dance pop', 'pop']"
3cBsEDNhFI9E82vPj3kvi3,4oUHIQIBe0LHzYfvXNW4QM,['contemporary country']
6Sq7ltF9Qa7SNFBsV5Cogx,4q3ewBCX7sLwd24euuV69X,"['reggaeton', 'trap latino', 'urbano latino']"
6Uj1ctrBOjOas8xZXGqKk4,5cj0lLjcoR7YOSnhnX0Po5,"['dance pop', 'pop']"
1IHWl5LamUGEuP4ozKQSXZ,4q3ewBCX7sLwd24euuV69X,"['reggaeton', 'trap latino', 'urbano latino']"
29d0nY7TzCoi22XBqDQkiP,1aSxMhuvixZ8h9dK9jIDwL,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']"
52xJxFP6TqMuO4Yt0eOkMz,29PgYEggDV3cDP9QYTogwv,['movie tunes']
1qEmFfgcLObUfQm0j1W2CK,6KImCVD70vtIoJWnq6nGn3,['pop']
0O6u0VJ46W86TxN9wgyqDj,246dkjvS1zLTtiykXe5h60,"['dfw rap', 'melodic rap', 'pop', 'rap']"
5uU1uuyaUIBOiiUSQG7Wl3,4oUHIQIBe0LHzYfvXNW4QM,['contemporary country']
5CM4UuQ9Gnd6K2YyKGPMoK,57vWImR43h4CaDao012Ofp,['afrofuturism']
4h4QlmocP3IuwYEj2j14p8,7qmpXeNz2ojlMl2EEfkeLs,['singer-songwriter pop']
