name,artist,id
LAND OF THE FREE,Joey Bada$$,6xz04ypw5JsqiyityCASG1
Someone to Drink With,Russ,0fyHfv7X0MRv6B2EfwmW5G
"RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)",A$AP Mob,4pdgV8qr9Oytcv6thCdiIZ
Pull The Trigger,Russ,57evRskKe47TvzG96SLLTM
Wing$,Macklemore & Ryan Lewis,5n5uyFpfopa4mNdSN0gTaH
Nightmare,Offset,7LAhKXDNWwq3CmnFP3UIOP
Call Me,NAV,1xpXnpIpuvzpx9jz15baJF
"Psycho, Pt. 2",Russ,26OhjtaTamFocE08t83ml6
Kill Jill (feat. Killer Mike & Jeezy),Big Boi,2TYyvCJgikY7B2AfHPE67M
That Far,6LACK,1BjiBbVzBMREvXiT6X5tHi
Reborn,KIDS SEE GHOSTS,4RVbK6cV0VqWdpCDcx3hiT
Norf Norf,Vince Staples,4uQ7wYsuL0DryknoDc11Hk
What They Want,Russ,3pndPhlQWjuSoXhcIIdBjv
Trophies,Young Money,6HfOzLLjsaXsehIFEsrxTk
Batman,Jaden,3aC9IY1oAAb0WeFeYebriD
Body,Sean Paul,3PGubBdFfQSHAHsXb068eG
100 Shots,Young Dolph,3TXy6nchgKeYlVwOKNk9lE
There's Alot Going On,VIC MENSA,5XSQ9gBCM5iableEqmzUIC
OOOUUU,Young M.A,7JYsArznYOjX2jsrT3UEnL
Champion (feat. Travis Scott),NAV,6nO3tr47nr2P7f3hXb8JIo
