track_uri,artist_uri,genres
357vSB9jKl4zoth6jEKwx4,2hlmm7s2ICUX0LVIhVFlZQ,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
7K7vrylTNyESvrth5iFq2q,341CfLcUdaBGixB8IJjYwW,"['banda', 'musica mexicana', 'musica sonorense', 'norteno']"
0FfqyjhB6Kspvit1oOo7ax,6qqNVTkY8uBg9cP3Jd7DAH,"['art pop', 'electropop', 'pop']"
3Xmos1e1mpsAv8z1mQr1u6,2ojqsY1ycYzZOpLDBBwHPU,['rage rap']
0ZVXMFHIItZ11a46HZMlbn,2QkELq00Y7e30HnrlpSHyF,[]
7JxTp4HrI99hr6L3VMCZbj,07PdYoE4jVRF6Ut40GgVSP,"['latin hip hop', 'mexican hip hop', 'nueva musica mexicana']"
1hYQUY06GbO7YR8QeO7Qdk,1z4g3DjTBBZKhvAroFlhOM,"['k-pop', 'k-pop girl group']"
610FzmkhFSsORpECZbjT4X,55Aa2cqylxrFIXC767Z865,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
0ua0Go4NN4Td7l0Zre6Ce3,5K4W6rqBFWDnAN6FQUkS6x,"['chicago rap', 'hip hop', 'rap']"
5IgjP7X4th6nMNDh4akUHb,7bXgB6jMjp9ATFy66eO08Z,"['r&b', 'rap']"
2l57cfmCnOkwNX1tky02n1,3vAaWhdBR38Q02ohXqaNHT,"['alternative metal', 'modern rock', 'neo mellow', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge']"
0C9d07g8OTaJeZVVmjN0pS,6guC9FqvlVboSKTI77NG2k,"['pixie', 'pop punk', 'sacramento indie', 'screamo', 'swancore']"
1Lxzr6FJdH4FgMe3Hxpcpv,3rcbPI7o2cfz94Ra4ZlqBE,[]
0M7mWKqwTIaVjYyxfZmtTa,2bA6fzP0lMAQ4kz6CF61w8,"['classic oklahoma country', 'contemporary country', 'country', 'country road']"
5E74WZEkf6mKyzoQPzPzWO,108moq3rq6bm1M4Ypz0J02,"['banda', 'musica mexicana', 'norteno', 'tejano']"
1r0faljjM2b876iNoaDUh5,0c173mlxpT3dSFRgMO8XPh,"['detroit hip hop', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']"
4iYsNs5tfOynmYikfPKqV4,0zCyco6JHJv7zKHbyMmsut,"['g funk', 'old school hip hop', 'west coast rap']"
4Wb6sFctwWXrWPczp0GUma,5SbkVQYYzlw1kte75QIabH,"['atl hip hop', 'neo soul']"
2JJSGhPpATm8lXeYjD95fw,4EEZg8R3dxbTCCQ1DVWtHg,"['banda', 'grupera', 'musica mexicana', 'norteno', 'tejano']"
3HxF1gZp1HCL6xoxupeYPP,0BoxogD7fLcedZTOGD4pDy,['cumbia surena']
2udNuNy4EW63blI1io1fPT,5B7uXBeLc2TkR5Jk23qKIZ,"['british modern classical', 'classical', 'post-romantic era']"
2m0M7YqCy4lXfedh18qd8N,6tbjWDEIzxoDsBA1FuhfPW,"['dance pop', 'pop']"
4Vyga3Ljl7s2M9FrMyjdXX,6oI6X03xlnYYs0ITOoJzAj,[]
4bPrKGqQKiBmf49XB4F4H5,39VNwvlQTqE9SvgPjjnMpc,['post-grunge']
6s0Ap55P7KWI0gPYWPTvRk,5tDjiBYUsTqzd0RkTZxK7u,[]
2a6AVT30VFGQ1ceA6PE3cA,01DTVE3KmoPogPZaOvMqO8,"['afrobeats', 'afropop', 'azonto', 'azontobeats', 'ghanaian hip hop']"
393b62b7RkGhw1ICNLSi7K,25uiPmTg16RbhZWAqwLBy5,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']"
4sDXb5UuypfQyg062GfEeO,3vONIwfmKkR8FJQ70Dq95v,"['country road', 'deep contemporary country']"
1XX4xX9rrdaomm4RxAJjZW,03n0Ll5tJjUxajYOvc0TQm,"['contemporary r&b', 'new jack swing']"
5PE95gvBBIkzjc8Gs6v8M2,6Ghvu1VvMGScGpOUJBAHNH,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']"
1Np92e0PSE4OzqZyGFTOsh,1ybINI1qPiFbwDXamRtwxD,['alternative r&b']
60Cti8CrcbEQTmTHq8R0tC,2P5sC9cVZDToPxyomzF1UH,"['conscious hip hop', 'hip hop', 'rap']"
3pwmJJRlr8nXNN9PFD18np,2ye2Wgw4gimLv2eAKyk1NB,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']"
1Tuh0lfagSr2ggyZXyWofx,07Pw9XQo0hIwtKRrBwo0Rl,"['afro soul', 'afropop', 'kwaito', 'south african pop']"
7pXtUaRb0gGLKGdDdWrW1K,1MP7xlABJ13LtmHfG77SCJ,['pop punk']
3q2v8QaTnHLveAQzR6gvYm,2YZyLoL8N0Wb9xBt1NhZWg,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
