track_uri,artist_uri,genres
49FOa4nEgBQh9YyoZH0y3E,7GuUYiGZOzQwq4L6gAfy1T,"['melodic rap', 'plugg', 'vapor trap']"
4Eunc7AcjnjTSUL6kyDX3l,1fqzcp3dzZD1YGQ2RT5pYs,"['dark plugg', 'vapor trap']"
4k3lPl8YTKuY8c1HelVnm3,6zLBxLdl60ekBLpawtT63I,"['classic texas country', 'contemporary country']"
4a2eojIkLDQEHSr7rLVKaf,64EHXDoln95lnccszdPum0,"['alt z', 'indie electropop', 'modern alternative pop']"
3argKmzYrrRtVst8VgRCZ7,43YNFAlzuiaGxpItSLA0aH,[]
17vQTNbvhpvi92qOnDOFHB,0g9vAlRPK9Gt3FKCekk4TW,"['conscious hip hop', 'hip hop', 'rap']"
6oEVnWKgPqIEPc53OYDNqG,3Y7RZ31TRPVadSFVy1o8os,"['r&b', 'rap']"
3n4r9HS59J2Utzr9wHbte4,1km0R7wy712AzLkA1WjKET,"['modern rock', 'scottish rock']"
6LBpGdlukUARutol7VgWIS,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
5xLDmkobOw674TLTBBmnuN,4qwGe91Bz9K2T8jXTZ815W,"['dance pop', 'r&b', 'urban contemporary']"
7es56D0QedGMsK39wl2yFX,7zkwepHPyac6tCYl0fL0co,['bedroom soul']
5aYR2yKYdcWxX7gAO2CYps,35y7CZMg7jbG8Q96JY7dyC,"['adult standards', 'brill building pop', 'easy listening', 'lounge']"
1CI6YgwwNq3VfhgxPuEpE6,5AtWO8IEnjhRLzaVVQxFUs,"['pop r&b', 'r&b', 'teen pop']"
2hXUeV1allHmJk0zKSicQM,7b8loRtOA8UkajsCNrFPL1,[]
0gmbgwZ8iqyMPmXefof8Yf,6deZN1bslXzeGvOLaLMOIF,"['alternative metal', 'canadian rock', 'post-grunge']"
5K5dQsYdSdo2LKdepxbYAd,4sb7rZNN93BSS6Gqgepo4v,"['cali rap', 'gangster rap', 'golden age hip hop', 'hyphy', 'oakland hip hop', 'west coast rap']"
50ZFpw2wS6ERvLmW8TINhq,25uiPmTg16RbhZWAqwLBy5,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']"
5nSkWEU7XKqU9EiskvVSlo,0EmeFodog0BfCgMzAIvKQp,"['colombian pop', 'dance pop', 'latin pop', 'pop']"
0okxFhVYLvK26pTbM8r0uY,02HWgoL7gYSPcVlNjrJWRb,[]
6EsOT4Yq4BavQSJ4sEe9dw,0Ek89uaJyo6NfWK22awFvI,['alternative r&b']
5ts6i8uvQcihNqmUcxRMFk,2hlmm7s2ICUX0LVIhVFlZQ,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
4gWvy90PdAXgY39Z7S8zSe,1TtJ8j22Roc24e2Jx3OcU4,"['canadian electropop', 'dark pop', 'edmonton indie', 'grave wave', 'indietronica', 'metropopolis', 'shimmer pop']"
13MrHw7A78fu5OoToVF29n,555069AxgdlH7dl3ukV4An,['college marching band']
5ORY1GDl3lpEDyU1CzSq26,56ZTgzPBDge0OvCGgMO3OY,"['art pop', 'baltimore indie', 'dream pop', 'dreamo', 'indie pop', 'indie rock', 'indietronica', 'modern dream pop']"
4jQqM4NI79HEcWHUJb8Hvf,5K4W6rqBFWDnAN6FQUkS6x,"['chicago rap', 'hip hop', 'rap']"
0YQEWdfq3ajtNtK106Dr0k,053q0ukIDRgzwTr4vNSwab,"['art pop', 'canadian electropop', 'grave wave', 'indietronica', 'metropopolis', 'neo-synthpop']"
3JBLdVJrLFymAihS70d395,2oQSuDSAp77ozD3JqzEbEm,"['salsa', 'salsa colombiana']"
6vuEG9sZtC4W2zT64f7zLF,4HVmeVTQBgvTuvjB1JYwaf,"['adult standards', 'soft rock']"
5V26Rgv8zQWmgHodVcuzpF,3TIFVwubt0Qv3UBDRHEpda,[]
5bGX5s3GRgWFRPO3WTZjHQ,6gRdK016pnqmdJs82UrzOb,"['progressive house', 'trance', 'uplifting trance']"
0U2GMzCpEOl25moMM3qfBF,2e4nwiX8ZCU09LGLOpeqTH,"['europop', 'italian adult pop', 'latin arena pop', 'mexican pop']"
7CB5WjQGGqojVFycFxuIDH,1O8X4zxUh4AdAPFttOTlLr,"['atl hip hop', 'cloud rap', 'melodic rap', 'plugg', 'vapor trap']"
5nPOM0nFRAJ3XI8xCxNAzO,5K4W6rqBFWDnAN6FQUkS6x,"['chicago rap', 'hip hop', 'rap']"
3pRRYcXy3Z0PsAa8griSoF,1moxjboGR7GNWYIMWsRjgG,"['baroque pop', 'modern rock', 'neo mellow', 'uk alternative pop']"
3bUNyRrTFJDd4mqvUcb1Aa,1PXHzxRDiLnjqNrRn2Xbsa,"['big beat', 'electronica']"
6MCNV9taT7Xuy3yjdIsMud,1tg1dd6uRRk3bYVJjUz9cy,[]
6JPSQ1F1totixwgVYmtnDW,5GQ1sbV3DYuRpHmoNJPhRX,[]
74Csq5DMaOBShLUhI6NU5A,0bZCak2tcRMY1dzEIuwF42,"['bath indie', 'modern blues rock']"
11VApNQCWLJdzxWrlmwzUa,5cj0lLjcoR7YOSnhnX0Po5,"['dance pop', 'pop']"
4l8CIibQf8cVk5BcrquSiD,3gGUMEwIX6XodWsYEvKSal,"['alabama rap', 'rap', 'trap', 'vapor trap']"
7BnOGfGxLShT14GzIrW32D,3zZ88AwlTwfCJkowsFCvLA,"['detroit hip hop', 'detroit trap']"
0Her4omN8x3s9apYq7gpTO,4MbwG921aeurcIfQO7JDfh,[]
5k72Xz3XkIpY8pccZmCXG3,26s8LSolLfCIY88ysQbIuT,"['crunk', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'southern hip hop', 'tennessee hip hop', 'trap']"
6YffUZJ2R06kyxyK6onezL,6kACVPfCOnqzgfEF5ryl0x,"['arkansas country', 'outlaw country', 'rock']"
0wEo4mwfs6tXYgCem9m9wP,08F3Y3SctIlsOEmKd6dnH8,"['british folk', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter']"
3EwbQRfrvBZimPB8dwDve4,5LwsKokIfyEjdGrC7VG2PE,[]
6kwWXm5ykHYBnY2Dcxc9UZ,1ybINI1qPiFbwDXamRtwxD,['alternative r&b']
2WM63pILSg6VzgCnu0OU6K,2x9SpqnPi8rlE9pjHBwmSC,"['alternative rock', 'art punk', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']"
6Dk5fHTvH897XrVzCO64Mx,4V4Z3qMCwYofWHtip6ePF6,['yacht rock']
2b9lp5A6CqSzwOrBfAFhof,6ZLTlhejhndI4Rh53vYhrY,"['album rock', 'alternative metal', 'birmingham metal', 'classic rock', 'glam metal', 'hard rock', 'metal', 'nu metal', 'rock']"
3Gqocyx8AWvgdK630V70HM,0u6b6Qa5VJEvr3SgzzeVOB,"['chicago rap', 'gangster rap', 'southern hip hop']"
