Rank,Song,Artist,Spotify Link
1,"""Blinding Lights""",The Weeknd,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"""Circles""",Post Malone,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
3,"""The Box""",Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
4,"""Don't Start Now""",Dua Lipa,https://open.spotify.com/track/7cYNQkJoyHVhP8Drb2n6d5
5,"""Rockstar""",DaBaby featuring Roddy Ricch,
6,"""Adore You""",Harry Styles,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
7,"""Life Is Good""",Future featuring Drake,
8,"""Memories""",Maroon 5,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
9,"""The Bones""",Maren Morris,https://open.spotify.com/track/7yFhA2fUsL2oIMWlw5DaHQ
10,"""Someone You Loved""",Lewis Capaldi,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
11,"""Say So""",Doja Cat,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
12,"""I Hope""",Gabby Barrett featuring Charlie Puth,
13,"""Whats Poppin""","Jack Harlow featuring DaBaby, Tory Lanez and Lil Wayne",
14,"""Dance Monkey""",Tones and I,https://open.spotify.com/track/2XU0oxnq2qxCpomAAuJY8K
15,"""Savage""",Megan Thee Stallion featuring Beyoncé,
16,"""Roxanne""",Arizona Zervas,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
17,"""Intentions""",Justin Bieber featuring Quavo,
18,"""Everything I Wanted""",Billie Eilish,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
19,"""Roses (Imanbek remix)""",Saint Jhn,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
20,"""Watermelon Sugar""",Harry Styles,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
21,"""Before You Go""",Lewis Capaldi,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
22,"""Falling""",Trevor Daniel,https://open.spotify.com/track/0Aqi7ArnBrGblW5T6p2jmD
23,"""10,000 Hours""",Dan + Shay and Justin Bieber,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
24,"""WAP""",Cardi B featuring Megan Thee Stallion,
25,"""Ballin'""",Mustard featuring Roddy Ricch,
26,"""Hot Girl Bummer""",Blackbear,https://open.spotify.com/track/6jRq8gaZhMUyy5RclRPcAf
27,"""Blueberry Faygo""",Lil Mosey,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
28,"""Heartless""",The Weeknd,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
29,"""Bop""",DaBaby,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
30,"""Lose You to Love Me""",Selena Gomez,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
31,"""Good as Hell""",Lizzo,https://open.spotify.com/track/6KgBpzTuTRPebChN0VTyzV
32,"""Toosie Slide""",Drake,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
33,"""Break My Heart""",Dua Lipa,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
34,"""Chasin' You""",Morgan Wallen,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A
35,"""Savage Love (Laxed – Siren Beat)""",Jawsh 685 and Jason Derulo,
36,"""No Guidance""",Chris Brown featuring Drake,
37,"""My Oh My""",Camila Cabello featuring DaBaby,
38,"""Dynamite""",BTS,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
39,"""Go Crazy""",Chris Brown and Young Thug,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
40,"""High Fashion""",Roddy Ricch featuring Mustard,
41,"""Laugh Now Cry Later""",Drake featuring Lil Durk,
42,"""Woah""",Lil Baby,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
43,"""Death Bed""",Powfu featuring Beabadoobee,
44,"""Señorita""",Shawn Mendes and Camila Cabello,https://open.spotify.com/track/3FGU19VhodS1rtCnVfHR8l
45,"""Highest in the Room""",Travis Scott,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
