danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.868,0.355,0,-15.406,1,0.0948,0.0988,0.000686,0.126,0.729,105.008,audio_features,6XRogonhKxzjffM8muQ4sC,spotify:track:6XRogonhKxzjffM8muQ4sC,https://api.spotify.com/v1/tracks/6XRogonhKxzjffM8muQ4sC,https://api.spotify.com/v1/audio-analysis/6XRogonhKxzjffM8muQ4sC,230896,4
0.517,0.504,1,-6.46,1,0.0372,0.000343,5.85e-05,0.164,0.0592,125.072,audio_features,0vgTyTvl8n7VXJeYYCWTWX,spotify:track:0vgTyTvl8n7VXJeYYCWTWX,https://api.spotify.com/v1/tracks/0vgTyTvl8n7VXJeYYCWTWX,https://api.spotify.com/v1/audio-analysis/0vgTyTvl8n7VXJeYYCWTWX,139080,4
0.621,0.882,6,-5.01,1,0.0459,0.601,0.0,0.132,0.574,126.014,audio_features,0eBXyY4SatzpE7opnzgXvz,spotify:track:0eBXyY4SatzpE7opnzgXvz,https://api.spotify.com/v1/tracks/0eBXyY4SatzpE7opnzgXvz,https://api.spotify.com/v1/audio-analysis/0eBXyY4SatzpE7opnzgXvz,216573,4
0.797,0.608,1,-9.191,1,0.208,0.106,4.51e-06,0.0641,0.335,100.075,audio_features,2kz0rvMeJcvXpEQ1Mby0C2,spotify:track:2kz0rvMeJcvXpEQ1Mby0C2,https://api.spotify.com/v1/tracks/2kz0rvMeJcvXpEQ1Mby0C2,https://api.spotify.com/v1/audio-analysis/2kz0rvMeJcvXpEQ1Mby0C2,125412,4
0.518,0.655,1,-7.891,1,0.0886,0.0686,0.0,0.322,0.33,95.854,audio_features,4voPWw9XX8pDJSefmotobb,spotify:track:4voPWw9XX8pDJSefmotobb,https://api.spotify.com/v1/tracks/4voPWw9XX8pDJSefmotobb,https://api.spotify.com/v1/audio-analysis/4voPWw9XX8pDJSefmotobb,180611,4
0.548,0.844,4,-7.126,0,0.304,0.0111,0.0,0.212,0.383,95.919,audio_features,5PERvOs4O5uS53DhOFVAA0,spotify:track:5PERvOs4O5uS53DhOFVAA0,https://api.spotify.com/v1/tracks/5PERvOs4O5uS53DhOFVAA0,https://api.spotify.com/v1/audio-analysis/5PERvOs4O5uS53DhOFVAA0,315000,4
0.568,0.536,6,-8.592,1,0.0296,0.162,0.0,0.111,0.576,149.995,audio_features,2nLoJJXRtpQ24aubXfbD9O,spotify:track:2nLoJJXRtpQ24aubXfbD9O,https://api.spotify.com/v1/tracks/2nLoJJXRtpQ24aubXfbD9O,https://api.spotify.com/v1/audio-analysis/2nLoJJXRtpQ24aubXfbD9O,191617,4
0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,audio_features,2WfaOiMkCvy7F5fcp2zZ8L,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/tracks/2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/audio-analysis/2WfaOiMkCvy7F5fcp2zZ8L,225280,4
0.648,0.646,10,-9.392,0,0.168,0.384,0.0,0.0707,0.321,93.942,audio_features,0StlF0mGObiMSUzj7Ctw4i,spotify:track:0StlF0mGObiMSUzj7Ctw4i,https://api.spotify.com/v1/tracks/0StlF0mGObiMSUzj7Ctw4i,https://api.spotify.com/v1/audio-analysis/0StlF0mGObiMSUzj7Ctw4i,136000,4
0.711,0.783,5,-4.877,0,0.181,0.184,0.0,0.137,0.842,109.914,audio_features,3Rsvv5YJktxdMGglPaSDOj,spotify:track:3Rsvv5YJktxdMGglPaSDOj,https://api.spotify.com/v1/tracks/3Rsvv5YJktxdMGglPaSDOj,https://api.spotify.com/v1/audio-analysis/3Rsvv5YJktxdMGglPaSDOj,197477,4
