id_str,username,text,date,user_language,URLs,user_id,followers_count,friends_count,user_location,source_device,retweet_count,reply_count,like_count,text_clean,spotify_URLs
1343561504050692096,janrandall,"@rustyrockets Please give us a ❤️ #Billboard #folllowme #EDM #Christmas   #Spotify  #Listige #Billboard200 #playlists #help 

https://t.co/swxQ1VI0gQ",2020-12-28 14:16:39+00:00,en,['https://open.spotify.com/track/6XRogonhKxzjffM8muQ4sC?si=KG114ROGR0OEzIB0mkw2SA'],16268362,1042,2426,Victoria BC CANADA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2,0,1,rustyrockets please give us a billboard folllowme edm christmas spotify listige billboard200 playlists help ,['https://open.spotify.com/track/6XRogonhKxzjffM8muQ4sC?si=KG114ROGR0OEzIB0mkw2SA']
1333855494767845393,isaacknew_11,"New song out now on all music streaming platforms. 
#hiphop #rap #Billboard #Oklahoma 
 https://t.co/2VorRExcrX",2020-12-01 19:28:26+00:00,en,['https://open.spotify.com/track/0vgTyTvl8n7VXJeYYCWTWX?si=SNYXd6tdRLqisLqH6i51Zw'],938568400523030529,231,731,OKC,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,0,0,new song out now on all music streaming platforms hiphop rap billboard oklahoma ,['https://open.spotify.com/track/0vgTyTvl8n7VXJeYYCWTWX?si=SNYXd6tdRLqisLqH6i51Zw']
1332949840775442432,AimeeSueArnel,I’ve got this one on repeat  At #1 on the #Billboard Country chart By the amazing @MorganWallen  His fourth #1 in a row! https://t.co/sL7ANYtxTV,2020-11-29 07:29:41+00:00,en,['https://open.spotify.com/track/0eBXyY4SatzpE7opnzgXvz?si=2ZNPk9iBRsmznlRTwleULQ'],1269857542638727169,468,314,"San Francisco, CA","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,0,0,ive got this one on repeat at 1 on the billboard country chart by the amazing morganwallen his fourth 1 in a row ,['https://open.spotify.com/track/0eBXyY4SatzpE7opnzgXvz?si=2ZNPk9iBRsmznlRTwleULQ']
1332822426883825665,blaqberrievideo,"Hope New Music Out Today 
Stream Like Follow Share 

https://t.co/CmjyAGaKKI

https://t.co/PdOQ4xxwBQ

Promotion Campaign Available tap in👈

https://t.co/c81CTqpzLd #iamthehopemusic #movemradio #HotNewHipHop #Billboard
#Pitchfork #NME #tlh4life #RollingStone #Louder #Stereogum",2020-11-28 23:03:23+00:00,en,"['https://youtu.be/tYU5cozE8hA', 'https://open.spotify.com/track/2kz0rvMeJcvXpEQ1Mby0C2?si=RpMSfJxJSR-XxD4IX-9iwQ', 'https://music.apple.com/us/album/on-the-spot/1515885316?i=1515885320&ls']",30623155,644,1488,"Long Beach , ca","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,0,0,hope new music out today stream like follow share promotion campaign available tap in iamthehopemusic movemradio hotnewhiphop billboard pitchfork nme tlh4life rollingstone louder stereogum,['https://open.spotify.com/track/2kz0rvMeJcvXpEQ1Mby0C2?si=RpMSfJxJSR-XxD4IX-9iwQ']
1325107971928416256,237musicgroup,"Out now! @AmyCorreaBell Creatures 

 https://t.co/SYWHuE8910

#dragons #creatures #amy818 #237musicgroup #100milliondidthat #losangeles #bestnewartist #grammys #billboard #SpotifyPlaylist",2020-11-07 16:08:54+00:00,en,['https://open.spotify.com/track/4voPWw9XX8pDJSefmotobb?si=dEPSznKeTk-7dfkgh4y69w'],1052456222564249602,107,111,"Los Angeles, CA","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,0,0,out now amycorreabell creatures dragons creatures amy818 237musicgroup 100milliondidthat losangeles bestnewartist grammys billboard spotifyplaylist,['https://open.spotify.com/track/4voPWw9XX8pDJSefmotobb?si=dEPSznKeTk-7dfkgh4y69w']
1319626377964982273,whyeazzy,https://t.co/qXVbH6TxsI  STREAMING EVERYWHERE!!! #hiphop #rap #hits #samples #music #art #culture #flint #detroit #la #newyork #miami #houston #atl #defjam #atlantic #interscope #dope #fire #producer #beats #goodbeats #goodmusic #billboard #wave #discover #explore #indie,2020-10-23 13:07:00+00:00,en,['https://open.spotify.com/track/5PERvOs4O5uS53DhOFVAA0?si=HqGm0I5fTjOaQUWax6n7KA'],162925041,369,323,The Glory Road,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,1,0, streaming everywhere hiphop rap hits samples music art culture flint detroit la newyork miami houston atl defjam atlantic interscope dope fire producer beats goodbeats goodmusic billboard wave discover explore indie,['https://open.spotify.com/track/5PERvOs4O5uS53DhOFVAA0?si=HqGm0I5fTjOaQUWax6n7KA']
1318346639107645443,ScandalMusicUK,"@sydxsyd_ Hi,
Hope you like our song.
https://t.co/mCHV6QF4Bs

#NewRelease #newsong #Spotify #SpotifyPlaylists #LGTWO #indie #indiemusic #Pop #rock #poprock #artist #MusicMonday #music #Anghami #AppleMusic #Billboard #supportlocal #supportsmallbusiness #indiepop",2020-10-20 00:21:47+00:00,en,['https://open.spotify.com/track/2nLoJJXRtpQ24aubXfbD9O?si=2LYHWIygTg-S2_bUEtAEBQ'],2897554647,1406,1302,"Sheffield, England","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",2,1,2,sydxsyd_ hi hope you like our song newrelease newsong spotify spotifyplaylists lgtwo indie indiemusic pop rock poprock artist musicmonday music anghami applemusic billboard supportlocal supportsmallbusiness indiepop,['https://open.spotify.com/track/2nLoJJXRtpQ24aubXfbD9O?si=2LYHWIygTg-S2_bUEtAEBQ']
1318180280851681284,lars_hallum,"#onthisday 1985 A-Ha ""Take on Me"" #billboard no. 1 
https://t.co/8RggwJZmZl",2020-10-19 13:20:44+00:00,en,['https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L?si=IewZBOe7Ssm6hkNP4Bj3Mg'],562345945,148,894,"Denmark, Europa, World.","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,0,onthisday 1985 aha take on me billboard no 1 ,['https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L?si=IewZBOe7Ssm6hkNP4Bj3Mg']
1317356447391514624,MetaTokyoVerse,"Stream And Follow Me On Spotify!! Help Me Reach 100K Followers ❤️❤️❤️ #music #newmusic #Billboard #spotify #heartbreak #follow #rt #RETWEEET #radio #dj #playlist 

 https://t.co/pUGYF0X9wA",2020-10-17 06:47:07+00:00,en,['https://open.spotify.com/track/0StlF0mGObiMSUzj7Ctw4i?si=4OtjtVfZR0yanSY59zBnGA'],788850181097730048,1809,2103,"Fort Lauderdale, FL","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,0,2,stream and follow me on spotify help me reach 100k followers music newmusic billboard spotify heartbreak follow rt retweeet radio dj playlist ,['https://open.spotify.com/track/0StlF0mGObiMSUzj7Ctw4i?si=4OtjtVfZR0yanSY59zBnGA']
1309558196374298624,MilesAmusic,"This song sums up this new genre I've been creating alongside some awesome people! 

https://t.co/OJBQFfzicZ

#NewMusicAlert #NewMusicFriday #luxurypop #popmusic #Billboard #RnBMusic #housemusic https://t.co/CsH0K2Sul6",2020-09-25 18:19:39+00:00,en,['https://open.spotify.com/track/3Rsvv5YJktxdMGglPaSDOj?si=m6hCWETvTUWpr4-ZIX-uxg'],437426021,675,228,Connecticut,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2,1,5,this song sums up this new genre ive been creating alongside some awesome people newmusicalert newmusicfriday luxurypop popmusic billboard rnbmusic housemusic ,['https://open.spotify.com/track/3Rsvv5YJktxdMGglPaSDOj?si=m6hCWETvTUWpr4-ZIX-uxg']
