danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.699,0.339,3,-18.026,0,0.413,0.472,1.67e-05,0.349,0.244,145.047,audio_features,15fkXlD3aymzgPQXYehh37,spotify:track:15fkXlD3aymzgPQXYehh37,https://api.spotify.com/v1/tracks/15fkXlD3aymzgPQXYehh37,https://api.spotify.com/v1/audio-analysis/15fkXlD3aymzgPQXYehh37,257411,4
0.548,0.747,5,-7.054,0,0.0399,0.0895,0.000125,0.158,0.303,99.898,audio_features,1rQVDh5AXwhRIeroVvcQxy,spotify:track:1rQVDh5AXwhRIeroVvcQxy,https://api.spotify.com/v1/tracks/1rQVDh5AXwhRIeroVvcQxy,https://api.spotify.com/v1/audio-analysis/1rQVDh5AXwhRIeroVvcQxy,240267,4
0.617,0.457,9,-8.187,1,0.0399,0.535,0.0119,0.0675,0.486,125.228,audio_features,5BKEacx0Aqmv9nhJkFLvma,spotify:track:5BKEacx0Aqmv9nhJkFLvma,https://api.spotify.com/v1/tracks/5BKEacx0Aqmv9nhJkFLvma,https://api.spotify.com/v1/audio-analysis/5BKEacx0Aqmv9nhJkFLvma,210947,4
0.244,0.833,9,-8.09,1,0.058,4.99e-05,0.00352,0.114,0.163,133.437,audio_features,0cFgjiZiiFy7vuLewrvxJv,spotify:track:0cFgjiZiiFy7vuLewrvxJv,https://api.spotify.com/v1/tracks/0cFgjiZiiFy7vuLewrvxJv,https://api.spotify.com/v1/audio-analysis/0cFgjiZiiFy7vuLewrvxJv,198566,5
0.53,0.743,2,-7.391,1,0.0339,0.00202,0.00435,0.261,0.315,132.108,audio_features,5qr22MeX8dHZ32E96Smt3E,spotify:track:5qr22MeX8dHZ32E96Smt3E,https://api.spotify.com/v1/tracks/5qr22MeX8dHZ32E96Smt3E,https://api.spotify.com/v1/audio-analysis/5qr22MeX8dHZ32E96Smt3E,323048,4
0.726,0.458,7,-15.776,1,0.0301,0.53,0.0338,0.137,0.679,131.993,audio_features,2exhJThfp2O4msRCGGLHJv,spotify:track:2exhJThfp2O4msRCGGLHJv,https://api.spotify.com/v1/tracks/2exhJThfp2O4msRCGGLHJv,https://api.spotify.com/v1/audio-analysis/2exhJThfp2O4msRCGGLHJv,215380,4
0.605,0.305,3,-14.325,1,0.113,0.366,0.0746,0.189,0.165,75.894,audio_features,7kCFZS2cuXBa0BA0qBw1n6,spotify:track:7kCFZS2cuXBa0BA0qBw1n6,https://api.spotify.com/v1/tracks/7kCFZS2cuXBa0BA0qBw1n6,https://api.spotify.com/v1/audio-analysis/7kCFZS2cuXBa0BA0qBw1n6,223421,4
0.573,0.535,9,-6.257,1,0.0297,0.292,0.0,0.156,0.341,130.013,audio_features,5ubhHVO4Zk3Z5rEc067YBB,spotify:track:5ubhHVO4Zk3Z5rEc067YBB,https://api.spotify.com/v1/tracks/5ubhHVO4Zk3Z5rEc067YBB,https://api.spotify.com/v1/audio-analysis/5ubhHVO4Zk3Z5rEc067YBB,188793,4
0.5,0.716,7,-8.947,1,0.0443,0.0446,0.0144,0.158,0.231,176.884,audio_features,2OBgSG20ApxKPhv1aXTl8n,spotify:track:2OBgSG20ApxKPhv1aXTl8n,https://api.spotify.com/v1/tracks/2OBgSG20ApxKPhv1aXTl8n,https://api.spotify.com/v1/audio-analysis/2OBgSG20ApxKPhv1aXTl8n,197797,3
0.721,0.529,11,-6.644,0,0.026,0.498,1.24e-05,0.249,0.6,99.964,audio_features,5gQ6XvuZjelg9emUPuS7j2,spotify:track:5gQ6XvuZjelg9emUPuS7j2,https://api.spotify.com/v1/tracks/5gQ6XvuZjelg9emUPuS7j2,https://api.spotify.com/v1/audio-analysis/5gQ6XvuZjelg9emUPuS7j2,193627,4
0.73,0.553,1,-7.84,1,0.0286,0.0357,0.0,0.0679,0.358,96.021,audio_features,2aNG1zFgAuHqYWhNbiIOF8,spotify:track:2aNG1zFgAuHqYWhNbiIOF8,https://api.spotify.com/v1/tracks/2aNG1zFgAuHqYWhNbiIOF8,https://api.spotify.com/v1/audio-analysis/2aNG1zFgAuHqYWhNbiIOF8,274627,4
0.677,0.524,0,-8.322,1,0.0329,0.0456,0.372,0.124,0.745,129.971,audio_features,0VwQuX9nLJlbRKm0DmGCud,spotify:track:0VwQuX9nLJlbRKm0DmGCud,https://api.spotify.com/v1/tracks/0VwQuX9nLJlbRKm0DmGCud,https://api.spotify.com/v1/audio-analysis/0VwQuX9nLJlbRKm0DmGCud,119093,4
0.374,0.496,2,-11.737,1,0.0456,0.741,0.000586,0.108,0.406,109.949,audio_features,0htZ1AXwevIM0AQlTb7whx,spotify:track:0htZ1AXwevIM0AQlTb7whx,https://api.spotify.com/v1/tracks/0htZ1AXwevIM0AQlTb7whx,https://api.spotify.com/v1/audio-analysis/0htZ1AXwevIM0AQlTb7whx,236430,4
0.506,0.453,9,-9.44,1,0.0282,0.372,2.22e-06,0.12,0.303,143.887,audio_features,1cHuVLdGevfDwMBlVfa2Eg,spotify:track:1cHuVLdGevfDwMBlVfa2Eg,https://api.spotify.com/v1/tracks/1cHuVLdGevfDwMBlVfa2Eg,https://api.spotify.com/v1/audio-analysis/1cHuVLdGevfDwMBlVfa2Eg,236899,4
0.803,0.42,5,-10.715,0,0.168,0.0181,0.0,0.0922,0.844,125.038,audio_features,58yVGYAtS1kic5KnXYwB0r,spotify:track:58yVGYAtS1kic5KnXYwB0r,https://api.spotify.com/v1/tracks/58yVGYAtS1kic5KnXYwB0r,https://api.spotify.com/v1/audio-analysis/58yVGYAtS1kic5KnXYwB0r,154619,4
0.682,0.551,2,-9.474,1,0.037,0.000494,0.672,0.1,0.204,119.962,audio_features,10cm2wxm0i5ufvdB8fMxgC,spotify:track:10cm2wxm0i5ufvdB8fMxgC,https://api.spotify.com/v1/tracks/10cm2wxm0i5ufvdB8fMxgC,https://api.spotify.com/v1/audio-analysis/10cm2wxm0i5ufvdB8fMxgC,247360,4
0.52,0.548,0,-11.621,1,0.0298,0.0382,0.00272,0.176,0.469,86.003,audio_features,33KUQQDsGwggmjmfluQfKV,spotify:track:33KUQQDsGwggmjmfluQfKV,https://api.spotify.com/v1/tracks/33KUQQDsGwggmjmfluQfKV,https://api.spotify.com/v1/audio-analysis/33KUQQDsGwggmjmfluQfKV,273488,4
0.738,0.645,9,-6.319,1,0.182,0.428,0.0,0.134,0.9,82.033,audio_features,1MrqeYobayKgj8aR8J5kHs,spotify:track:1MrqeYobayKgj8aR8J5kHs,https://api.spotify.com/v1/tracks/1MrqeYobayKgj8aR8J5kHs,https://api.spotify.com/v1/audio-analysis/1MrqeYobayKgj8aR8J5kHs,204931,4
0.751,0.79,2,-7.993,1,0.219,0.000177,0.838,0.0966,0.926,128.002,audio_features,6SOIpCgt7suSfv9mBN5iCU,spotify:track:6SOIpCgt7suSfv9mBN5iCU,https://api.spotify.com/v1/tracks/6SOIpCgt7suSfv9mBN5iCU,https://api.spotify.com/v1/audio-analysis/6SOIpCgt7suSfv9mBN5iCU,284138,4
0.554,0.817,7,-4.757,0,0.386,0.26,0.0,0.115,0.388,87.812,audio_features,4JUFNXAzET0s6iLV6SS2oI,spotify:track:4JUFNXAzET0s6iLV6SS2oI,https://api.spotify.com/v1/tracks/4JUFNXAzET0s6iLV6SS2oI,https://api.spotify.com/v1/audio-analysis/4JUFNXAzET0s6iLV6SS2oI,133722,4
0.592,0.778,11,-7.973,1,0.0597,0.0947,1.27e-06,0.0951,0.264,87.531,audio_features,0YKsuAIyO3MiuiSJpyqcRk,spotify:track:0YKsuAIyO3MiuiSJpyqcRk,https://api.spotify.com/v1/tracks/0YKsuAIyO3MiuiSJpyqcRk,https://api.spotify.com/v1/audio-analysis/0YKsuAIyO3MiuiSJpyqcRk,156317,4
0.505,0.715,0,-4.846,1,0.0437,0.0404,0.0,0.197,0.216,127.971,audio_features,4lNvvTvit0QXB03HzLxvV1,spotify:track:4lNvvTvit0QXB03HzLxvV1,https://api.spotify.com/v1/tracks/4lNvvTvit0QXB03HzLxvV1,https://api.spotify.com/v1/audio-analysis/4lNvvTvit0QXB03HzLxvV1,173282,4
0.525,0.396,0,-8.666,1,0.0369,0.276,0.0,0.134,0.245,134.866,audio_features,2O79mZVthzGMFmQegJcX7J,spotify:track:2O79mZVthzGMFmQegJcX7J,https://api.spotify.com/v1/tracks/2O79mZVthzGMFmQegJcX7J,https://api.spotify.com/v1/audio-analysis/2O79mZVthzGMFmQegJcX7J,228725,4
0.651,0.598,5,-7.578,0,0.0275,0.00593,0.153,0.0952,0.335,134.979,audio_features,05lULGCP3gEeZRFmABDnic,spotify:track:05lULGCP3gEeZRFmABDnic,https://api.spotify.com/v1/tracks/05lULGCP3gEeZRFmABDnic,https://api.spotify.com/v1/audio-analysis/05lULGCP3gEeZRFmABDnic,213333,4
0.693,0.369,1,-14.399,0,0.0357,0.694,0.0674,0.106,0.285,127.939,audio_features,675C2Orv7DPoU9aHmUzfSD,spotify:track:675C2Orv7DPoU9aHmUzfSD,https://api.spotify.com/v1/tracks/675C2Orv7DPoU9aHmUzfSD,https://api.spotify.com/v1/audio-analysis/675C2Orv7DPoU9aHmUzfSD,216094,4
0.706,0.482,10,-13.341,0,0.612,0.0966,0.000204,0.105,0.775,141.623,audio_features,6dgA8qQ4wTGRwwArW927SV,spotify:track:6dgA8qQ4wTGRwwArW927SV,https://api.spotify.com/v1/tracks/6dgA8qQ4wTGRwwArW927SV,https://api.spotify.com/v1/audio-analysis/6dgA8qQ4wTGRwwArW927SV,213834,4
0.679,0.514,0,-7.301,1,0.0302,0.882,0.0,0.137,0.466,99.953,audio_features,03ReE2ybwLZttg7thHTkjm,spotify:track:03ReE2ybwLZttg7thHTkjm,https://api.spotify.com/v1/tracks/03ReE2ybwLZttg7thHTkjm,https://api.spotify.com/v1/audio-analysis/03ReE2ybwLZttg7thHTkjm,177600,4
