danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.831,0.721,11,-5.447,0,0.164,0.277,0.0,0.0403,0.443,124.007,audio_features,12hD59WtTU92K1VcCXqLlw,spotify:track:12hD59WtTU92K1VcCXqLlw,https://api.spotify.com/v1/tracks/12hD59WtTU92K1VcCXqLlw,https://api.spotify.com/v1/audio-analysis/12hD59WtTU92K1VcCXqLlw,175329,4
0.463,0.711,4,-6.712,1,0.0459,0.279,5e-05,0.457,0.165,122.038,audio_features,32gdqUDfS1Qu1uHZ6zX4JR,spotify:track:32gdqUDfS1Qu1uHZ6zX4JR,https://api.spotify.com/v1/tracks/32gdqUDfS1Qu1uHZ6zX4JR,https://api.spotify.com/v1/audio-analysis/32gdqUDfS1Qu1uHZ6zX4JR,320853,4
0.778,0.79,0,-5.179,0,0.067,0.185,0.0,0.127,0.783,116.986,audio_features,1z50Hub2XCsAPWo8zgoePu,spotify:track:1z50Hub2XCsAPWo8zgoePu,https://api.spotify.com/v1/tracks/1z50Hub2XCsAPWo8zgoePu,https://api.spotify.com/v1/audio-analysis/1z50Hub2XCsAPWo8zgoePu,218462,4
0.686,0.507,1,-7.097,1,0.0357,0.626,7.51e-05,0.383,0.69,168.955,audio_features,5CM4UuQ9Gnd6K2YyKGPMoK,spotify:track:5CM4UuQ9Gnd6K2YyKGPMoK,https://api.spotify.com/v1/tracks/5CM4UuQ9Gnd6K2YyKGPMoK,https://api.spotify.com/v1/audio-analysis/5CM4UuQ9Gnd6K2YyKGPMoK,232115,4
0.735,0.923,6,-2.119,1,0.0703,0.021,0.0,0.038,0.817,122.002,audio_features,1RNnRdT27xNUTdechKtSVT,spotify:track:1RNnRdT27xNUTdechKtSVT,https://api.spotify.com/v1/tracks/1RNnRdT27xNUTdechKtSVT,https://api.spotify.com/v1/audio-analysis/1RNnRdT27xNUTdechKtSVT,178147,4
0.457,0.705,6,-5.554,0,0.028,0.00318,0.0,0.314,0.402,166.036,audio_features,1Gwwh7r2kfoRUja11QsJGk,spotify:track:1Gwwh7r2kfoRUja11QsJGk,https://api.spotify.com/v1/tracks/1Gwwh7r2kfoRUja11QsJGk,https://api.spotify.com/v1/audio-analysis/1Gwwh7r2kfoRUja11QsJGk,215465,4
0.589,0.915,1,-8.23,1,0.041,0.0434,0.0,0.201,0.926,124.927,audio_features,3bsMSoQ8IOvcRZtR8PmkVO,spotify:track:3bsMSoQ8IOvcRZtR8PmkVO,https://api.spotify.com/v1/tracks/3bsMSoQ8IOvcRZtR8PmkVO,https://api.spotify.com/v1/audio-analysis/3bsMSoQ8IOvcRZtR8PmkVO,152978,4
0.415,0.183,1,-10.32,1,0.0457,0.909,0.708,0.0953,0.306,179.938,audio_features,3xvLfZsyoO9UQ4Hxki7P05,spotify:track:3xvLfZsyoO9UQ4Hxki7P05,https://api.spotify.com/v1/tracks/3xvLfZsyoO9UQ4Hxki7P05,https://api.spotify.com/v1/audio-analysis/3xvLfZsyoO9UQ4Hxki7P05,214493,4
0.855,0.615,10,-7.403,0,0.0413,0.118,0.736,0.091,0.842,112.937,audio_features,7ADli7gGUnlG5H4C1GTPhf,spotify:track:7ADli7gGUnlG5H4C1GTPhf,https://api.spotify.com/v1/tracks/7ADli7gGUnlG5H4C1GTPhf,https://api.spotify.com/v1/audio-analysis/7ADli7gGUnlG5H4C1GTPhf,234801,4
0.787,0.534,3,-8.354,0,0.0523,0.0791,0.0048,0.0672,0.495,104.971,audio_features,13nfozKpyR0FROWAoRxlIr,spotify:track:13nfozKpyR0FROWAoRxlIr,https://api.spotify.com/v1/tracks/13nfozKpyR0FROWAoRxlIr,https://api.spotify.com/v1/audio-analysis/13nfozKpyR0FROWAoRxlIr,242380,4
0.696,0.61,1,-7.681,1,0.165,0.0671,0.000298,0.146,0.655,89.962,audio_features,085d8MgLKt3tqnEzSXDPZk,spotify:track:085d8MgLKt3tqnEzSXDPZk,https://api.spotify.com/v1/tracks/085d8MgLKt3tqnEzSXDPZk,https://api.spotify.com/v1/audio-analysis/085d8MgLKt3tqnEzSXDPZk,245368,4
0.702,0.655,1,-7.447,1,0.182,0.181,0.0,0.204,0.54,81.907,audio_features,0KUn8que34YX4PHhqUbHS4,spotify:track:0KUn8que34YX4PHhqUbHS4,https://api.spotify.com/v1/tracks/0KUn8que34YX4PHhqUbHS4,https://api.spotify.com/v1/audio-analysis/0KUn8que34YX4PHhqUbHS4,176720,4
0.566,0.922,7,-4.182,1,0.0387,0.35,0.32,0.408,0.563,84.963,audio_features,1Vdw6Ef3wFRMJmhXXz0mgp,spotify:track:1Vdw6Ef3wFRMJmhXXz0mgp,https://api.spotify.com/v1/tracks/1Vdw6Ef3wFRMJmhXXz0mgp,https://api.spotify.com/v1/audio-analysis/1Vdw6Ef3wFRMJmhXXz0mgp,211200,4
0.782,0.97,11,-5.108,0,0.0636,0.00185,0.121,0.0553,0.716,121.983,audio_features,0yrYzmd9bQkmWAOVI1ah1S,spotify:track:0yrYzmd9bQkmWAOVI1ah1S,https://api.spotify.com/v1/tracks/0yrYzmd9bQkmWAOVI1ah1S,https://api.spotify.com/v1/audio-analysis/0yrYzmd9bQkmWAOVI1ah1S,381823,4
