id_str,username,text,date,user_language,URLs,user_id,followers_count,friends_count,user_location,source_device,retweet_count,reply_count,like_count,text_clean
1608776592708472834,AlixEwartOffic,"It would mean so so so much if you streamed some of my music, even just 35 seconds would make my week! 

My top song
https://t.co/AwliljHIu1

#popmusic #music #singer #newmusic #musician #singersongwriter #love #songwriter #spotify #artist #song #musicproducer #producer",2022-12-30 10:46:43+00:00,en,['https://open.spotify.com/track/15fkXlD3aymzgPQXYehh37?si=elkNTJQZQKqD_eeD7Xv7-g'],1523318377346912259,15,156,"England, United Kingdom","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,0,1,"it would mean so so so much if you streamed some of my music even just 35 seconds would make my week 

my top song


popmusic music singer newmusic musician singersongwriter love songwriter spotify artist song musicproducer producer"
1608776537096192001,xasherz2896,"It would mean so so so much if you streamed some of my music, even just 35 seconds would make my week! 

My top song
https://t.co/rkE9NJWPRZ

#popmusic #music #singer #newmusic #musician #singersongwriter #love #songwriter #spotify #artist #song #musicproducer #producer",2022-12-30 10:46:30+00:00,en,['https://open.spotify.com/track/15fkXlD3aymzgPQXYehh37?si=elkNTJQZQKqD_eeD7Xv7-g'],1602775863266779136,1,91,Your dads bed ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,0,1,"it would mean so so so much if you streamed some of my music even just 35 seconds would make my week 

my top song


popmusic music singer newmusic musician singersongwriter love songwriter spotify artist song musicproducer producer"
1608455418853859329,TommyBlunt95,"Alisun is an LA based artist very passionate about spreading a message of love, caring for earth and children’s rights. She is a pop singer and just released her new single ""Around The World"".

https://t.co/xpRmAlB3Q5

#popmusic #nowplaying",2022-12-29 13:30:30+00:00,en,['https://open.spotify.com/track/1rQVDh5AXwhRIeroVvcQxy'],803945912271679488,34080,23587,"USA, UK, Australia & worldwide","<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",0,0,1,"alisun is an la based artist very passionate about spreading a message of love caring for earth and childrens rights she is a pop singer and just released her new single around the world



popmusic nowplaying"
1608195752240754688,carlosENVIRO,"I love this one recorded at abbey Road Love is Murder great strings Elenore Rigby meets Psycho ! 
 https://t.co/NutYcFi6dk
@SpotfyMusica #popmusic #indie",2022-12-28 20:18:40+00:00,en,['https://open.spotify.com/track/5BKEacx0Aqmv9nhJkFLvma?si=c252d6146dd94ced'],1584623909294465035,44,188,england ,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0,4,"i love this one recorded at abbey road love is murder great strings elenore rigby meets psycho  
 
spotfymusica popmusic indie"
1607863016720048130,mickmarlowmusic,https://t.co/PUoa4Sqn9e Check out my latest single Smiling Now for me! Play it louddddd. Hope everyone’s having a fun last week to 2022 out there🖤 #NewMusic #PopMusic #NewMusicAlert #UpAndComingArtist,2022-12-27 22:16:30+00:00,en,['https://open.spotify.com/track/0cFgjiZiiFy7vuLewrvxJv?si=uGjTiBtwSV-IoV2l4DgiyA'],1475119112707878916,43,181,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,1,3, check out my latest single smiling now for me play it louddddd hope everyones having a fun last week to 2022 out there newmusic popmusic newmusicalert upandcomingartist
1607843666197880840,ArtistsandMusic,"Alisun is an LA based artist very passionate about spreading a message of love, caring for earth and children’s rights. She is a pop singer and just released her new single ""Around The World"".

https://t.co/mEP2WkIt85

#popmusic #nowplaying",2022-12-27 20:59:36+00:00,en,['https://open.spotify.com/track/1rQVDh5AXwhRIeroVvcQxy'],31327090,231836,229818,United States,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",0,0,0,"alisun is an la based artist very passionate about spreading a message of love caring for earth and childrens rights she is a pop singer and just released her new single around the world



popmusic nowplaying"
1607679430306181121,dollyelements5d,"Open The Door
#rtitbot #rtartboost @blazedRTs  #SpotifyRT @ArtistRTweeters  #rock  #popmusic #motivation #音楽 #Music #musica
https://t.co/0wQsi4OsuM",2022-12-27 10:07:00+00:00,en,['https://open.spotify.com/track/5qr22MeX8dHZ32E96Smt3E?si=o0w9di67Toaymk6BKQmOCQ'],1568843279294410757,12,16,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",5,0,2,"open the door
rtitbot rtartboost blazedrts  spotifyrt artistrtweeters  rock  popmusic motivation 音楽 music musica
"
1607650063458738177,iMusicSuccess,"Alisun is an LA based artist very passionate about spreading a message of love, caring for earth and children’s rights. She is a pop singer and just released her new single ""Around The World"".

https://t.co/PhIOI2NKsO

#popmusic #nowplaying",2022-12-27 08:10:18+00:00,en,['https://open.spotify.com/track/1rQVDh5AXwhRIeroVvcQxy'],562207202,74172,57235,,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",0,0,2,"alisun is an la based artist very passionate about spreading a message of love caring for earth and childrens rights she is a pop singer and just released her new single around the world



popmusic nowplaying"
1607579731972554757,JoeViglione,"10:25 pm #December 26 #Christmas 2022 @TheSpinRoom00 @lspinna  @Lucid_Lion @zionrock Nice segue with ""Baby Blue"" by @BadfingerJoey @AppleMusic on Spotify https://t.co/0R7r8ES2tB @spotify #Joeviglionemedia #filmmusic #musicfilm #musicsupervisors #popmusic The Spin Room @3dJt3 https://t.co/FATaAgCz80",2022-12-27 03:30:50+00:00,en,['https://open.spotify.com/track/2exhJThfp2O4msRCGGLHJv'],715553454,1549,5001,Planet Earth,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2,0,2,1025 pm december 26 christmas 2022 thespinroom00 lspinna  lucid_lion zionrock nice segue with baby blue by badfingerjoey applemusic on spotify  spotify joeviglionemedia filmmusic musicfilm musicsupervisors popmusic the spin room 3djt3 
1607291971390869504,MySocialPoint,"Alisun is an LA based artist very passionate about spreading a message of love, caring for earth and children’s rights. She is a pop singer and just released her new single ""Around The World"".

https://t.co/u72UtnKR71

#popmusic #nowplaying",2022-12-26 08:27:22+00:00,en,['https://open.spotify.com/track/1rQVDh5AXwhRIeroVvcQxy'],54529748,49940,37616,USA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",0,0,1,"alisun is an la based artist very passionate about spreading a message of love caring for earth and childrens rights she is a pop singer and just released her new single around the world



popmusic nowplaying"
